place,latitude,longitude,display_name
Aan boord van Z.M. Brik Gier,,,
Aan boord van Z.M. Brik Zwaluw,,,
Alken,50.8820238,5.2990711,"Alken, Tongeren, Limburg, Vlaanderen, 3570, België / Belgique / Belgien"
Alkmaar,52.6008538,4.8170994,"Alkmaar, Noord-Holland, Nederland"
Amersfoort,52.1562499,5.3896944,"Amersfoort, Utrecht, Nederland"
Amsterdam,52.3730796,4.8924534,"Amsterdam, Noord-Holland, Nederland"
Angerort,51.3797174,6.7276815,"Rheinportal Angerort, Straße 131, Hüttenwerke Krupp Mannesmann, Hüttenheim, Duisburg-Süd, Duisburg, Nordrhein-Westfalen, 47259, Deutschland"
Angers,47.4739884,-0.5515588,"Angers, Maine-et-Loire, Pays de la Loire, France métropolitaine, France"
Antwerpen,51.2211097,4.3997081,"Antwerpen, Vlaanderen, België / Belgique / Belgien"
Appingedam,53.3203563,6.8577654,"Appingedam, Eemsdelta, Groningen, Nederland"
Arendsee,52.8808292,11.4922352,"Arendsee (Altmark), Altmarkkreis Salzwedel, Sachsen-Anhalt, 39619, Deutschland"
Arnhem,51.984257,5.9108573,"Arnhem, Gelderland, Nederland"
Aruba,12.5013629,-69.9618475,"Aruba, Nederland"
Assen,52.9952273,6.560498,"Assen, Drenthe, Nederland"
Atrecht,50.291048,2.7772211,"Arras, Pas-de-Calais, Hauts-de-France, France métropolitaine, 62000, France"
Augsburg,48.3690341,10.8979522,"Augsburg, Bayern, Deutschland"
Avonddorp,,,
Baarn,52.2111182,5.2931841,"Baarn, Utrecht, Nederland"
Bad Wimpfen,49.2303439,9.1621599,"Bad Wimpfen, Landkreis Heilbronn, Baden-Württemberg, 74206, Deutschland"
Batavia,-6.1754049,106.827168,"Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Bautzen,51.1809132,14.4276003,"Bautzen, Bautzen - Budyšin, Sachsen, 02625, Deutschland"
Bentheim,42.7094722,-85.918922,"Bentheim, Overisel Township, Allegan County, Michigan, United States"
Bergen op Zoom,51.4944756,4.2871541,"Bergen op Zoom, Noord-Brabant, Nederland"
Berlijn,52.5173885,13.3951309,"Berlin, Deutschland"
Bern,46.9484742,7.4521749,"Bern, Verwaltungskreis Bern-Mittelland, Verwaltungsregion Bern-Mittelland, Bern/Berne, Schweiz/Suisse/Svizzera/Svizra"
Bernikow,52.9611291,14.4770043,"Barnkowo, Czartoryja, gmina Chojna, powiat gryfiński, województwo zachodniopomorskie, 74-500, Polska"
Blois,47.5876861,1.3337639,"Blois, Loir-et-Cher, Centre-Val de Loire, France métropolitaine, 41000, France"
Boldekow,53.7221578,13.5945788,"Boldekow, Anklam-Land, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
Bonn,50.7352621,7.1024635,"Bonn, Nordrhein-Westfalen, Deutschland"
Boskoop,52.0742348,4.6631166,"Boskoop, Alphen aan den Rijn, Zuid-Holland, Nederland"
Böttingen,48.1014239,8.8065173,"Böttingen, VVG der Stadt Spaichingen, Landkreis Tuttlingen, Baden-Württemberg, 78583, Deutschland"
Bourges,47.0811658,2.399125,"Bourges, Cher, Centre-Val de Loire, France métropolitaine, 18000, France"
Bovenkarspel,52.6988258,5.2497934,"Bovenkarspel, Stede Broec, Noord-Holland, Nederland"
Breda,51.5887845,4.7760237,"Breda, Noord-Brabant, Nederland"
Brussel,50.8467372,4.352493,"Bruxelles - Brussel, Brussel-Hoofdstad - Bruxelles-Capitale, Région de Bruxelles-Capitale - Brussels Hoofdstedelijk Gewest, België / Belgique / Belgien"
Bunznitz,,,
Busow,51.0278687,18.3544669,"Budzów, gmina Gorzów Śląski, powiat oleski, województwo opolskie, 46-310, Polska"
Chojna,52.9629793,14.4314113,"Chojna, gmina Chojna, powiat gryfiński, województwo zachodniopomorskie, 74-500, Polska"
Curaçao,12.1176488,-68.9309263,"Curaçao, Nederland"
Darmstadt,49.872775,8.651177,"Darmstadt, Hessen, Deutschland"
Delfshaven,51.9081039,4.4483726,"Delfshaven, Rotterdam, Zuid-Holland, Nederland"
Delft,52.0114017,4.35839,"Delft, Zuid-Holland, Nederland"
Demerary,,,
Den Bosch,51.6889387,5.303116,"'s-Hertogenbosch, Noord-Brabant, Nederland"
Den Haag,52.0799838,4.3113461,"Den Haag, Zuid-Holland, Nederland"
Deventer,52.2694897,6.2364886,"Deventer, Overijssel, Nederland"
Dittmannsdorf,49.8942584,18.4605013,"Dětmarovice, okres Karviná, Moravskoslezský kraj, 735 71, Česko"
Dodewaard,51.9140052,5.6569388,"Dodewaard, Neder-Betuwe, Gelderland, Nederland"
Dordrecht,51.814429,4.6692438,"Dordrecht, Zuid-Holland, Nederland"
Douai,50.3675677,3.0804641,"Douai, Nord, Hauts-de-France, France métropolitaine, 59500, France"
Dresden,51.0493286,13.7381437,"Dresden, Sachsen, Deutschland"
Duisburg,51.434999,6.759562,"Duisburg, Nordrhein-Westfalen, Deutschland"
Duitsland,51.1638175,10.4478313,Deutschland
Duivenvoord,,,
Edam,52.5119116,5.0562845,"Edam, Edam-Volendam, Noord-Holland, Nederland"
Ede,52.0716826,5.7455106,"Ede, Gelderland, Nederland"
Enkhuizen,52.7036282,5.2901222,"Enkhuizen, Noord-Holland, Nederland"
Erlangen,49.5891571,10.9812072,"Erlangen, Bayern, Deutschland"
Essequibo,4.3561036,-58.4785509,"Essequibo River, Guyana"
Frankfurt,50.1106444,8.6820917,"Frankfurt am Main, Hessen, Deutschland"
Frankrijk,46.603354,1.8883335,France
Frauenwald,50.5855442,10.859965,"Frauenwald, Ilmenau, Ilm-Kreis, Thüringen, Deutschland"
Fraustadt,51.8038354,16.3172771,"Wschowa, gmina Wschowa, powiat wschowski, województwo lubuskie, 67-400, Polska"
Geertruidenberg,51.6961662,4.8778438,"Geertruidenberg, Noord-Brabant, Nederland"
Gelderen,51.5169736,6.3228189,"Geldern, Kreis Kleve, Nordrhein-Westfalen, 47608, Deutschland"
Genève,46.2017559,6.1466014,"Genève, Schweiz/Suisse/Svizzera/Svizra"
Gent,51.0538286,3.7250121,"Gent, Oost-Vlaanderen, Vlaanderen, België / Belgique / Belgien"
Giessen,50.5862066,8.6742306,"Gießen, Landkreis Gießen, Hessen, Deutschland"
Goes,51.5031033,3.8897596,"Goes, Zeeland, Nederland"
Gorinchem,51.8296133,4.9738743,"Gorinchem, Zuid-Holland, Nederland"
Gotha,50.9494849,10.7014435,"Gotha, Landkreis Gotha, Thüringen, Deutschland"
Gouda,52.0114922,4.7106094,"Gouda, Zuid-Holland, Nederland"
Greiffenberg,53.088725,13.9561927,"Greiffenberg, Angermünde, Uckermark, Brandenburg, Deutschland"
Groeneveld,52.3671163,5.7299736,"Groeneveld, Hulshorst, Nunspeet, Gelderland, Nederland, 8077 RS, Nederland"
Groningen,53.2190652,6.5680077,"Groningen, Nederland"
Grosthuizen,52.6177167,4.9765085,"Grosthuizen, Avenhorn, Koggenland, Noord-Holland, Nederland, 1633 EN, Nederland"
Grunowitz,50.9057322,18.3098698,"Gronowice, gmina Lasowice Wielkie, powiat kluczborski, województwo opolskie, 46-280, Polska"
Guyane,4.0039882,-52.999998,"Guyane, France"
Haarlem,52.3885317,4.6388048,"Haarlem, Noord-Holland, Nederland"
Haastrecht,52.0007892,4.7740369,"Haastrecht, Krimpenerwaard, Zuid-Holland, Nederland"
Harderwijk,52.3490693,5.618933,"Harderwijk, Gelderland, Nederland"
Harenburg,54.5475877,9.3216439,"Harenburg, Treia, Arensharde, Kreis Schleswig-Flensburg, Schleswig-Holstein, 24896, Deutschland"
